MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366976320,2018-01-01T10:40:51Z,46.75387,-92.09404,0,221.2,511,NA,NA,NA,NA,15,NA,NA,NA,NA,A
303198000,2018-01-01T19:04:50Z,29.32362,-94.78207,0,276.7,38,NRC ADMIRAL,IMO8978461,WCC8506,90,0,33,7,2.9,54,A
303198000,2018-01-01T19:05:59Z,29.32362,-94.78207,0,276.7,38,NRC ADMIRAL,IMO8978461,WCC8506,90,0,33,7,2.9,54,A
366972890,2018-01-01T10:41:17Z,29.7813,-95.09936,0,253.3,91,NA,NA,NA,NA,15,NA,NA,NA,NA,A
303198000,2018-01-01T19:07:10Z,29.32362,-94.78207,0,276.7,38,NRC ADMIRAL,IMO8978461,WCC8506,90,0,33,7,2.9,54,A
303198000,2018-01-01T19:08:20Z,29.32362,-94.78207,0,276.7,39,NRC ADMIRAL,IMO8978461,WCC8506,90,0,33,7,2.9,54,A
303295000,2018-01-01T23:21:59Z,53.84141,-166.5836,0.1,135.3,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
232008102,2018-01-01T10:41:19Z,28.97066,-89.38119,9.4,35.9,36,NA,NA,NA,NA,0,NA,NA,NA,NA,A
248445000,2018-01-01T10:40:56Z,26.09849,-80.16402,0,261.5,357,NA,NA,NA,NA,1,NA,NA,NA,NA,A
367645040,2018-01-01T10:41:05Z,30.0186,-94.01756,7.2,108.4,108,NA,NA,NA,NA,0,NA,NA,NA,NA,A
367072780,2018-01-01T10:41:07Z,42.28085,-83.12684,0,0,511,NA,NA,NA,NA,0,NA,NA,NA,NA,A
303295000,2018-01-01T23:20:49Z,53.84142,-166.58357,0.1,134.1,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
367042740,2018-01-01T10:41:14Z,32.72406,-117.22603,0,360,511,NA,NA,NA,NA,0,NA,NA,NA,NA,A
303295000,2018-01-01T23:19:39Z,53.84139,-166.58363,0,157.2,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
941203549,2018-01-01T10:41:19Z,35.84528,-75.62244,0.2,25.2,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,B
303295000,2018-01-01T23:18:29Z,53.84139,-166.58363,0.1,169.3,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
366970990,2018-01-01T10:41:20Z,35.27311,-90.10704,4,342.4,345,NA,NA,NA,NA,0,NA,NA,NA,NA,A
303198000,2018-01-01T19:09:29Z,29.32362,-94.7821,0,276.7,39,NRC ADMIRAL,IMO8978461,WCC8506,90,0,33,7,2.9,54,A
303295000,2018-01-01T18:40:39Z,53.8414,-166.58352,0.1,312.8,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
366979050,2018-01-01T10:41:06Z,46.61903,-84.97817,0.3,224.6,344,NA,NA,NA,NA,0,NA,NA,NA,NA,A
367027140,2018-01-01T10:41:06Z,39.48866,-75.54969,0,302.8,3,NA,NA,NA,NA,0,NA,NA,NA,NA,A
