MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367500750,2018-01-01T13:49:35Z,40.70003,-74.15256,0,323.8,62,CAITLIN ANN,IMO8644357,WDF8998,31,0,24,7,NA,31,A
351106000,2018-01-01T05:08:47Z,29.08338,-94.66933,0.1,277,35,MORHOLMEN,IMO9553414,3EUC6,80,1,144,23,8.9,89,A
367375730,2018-01-01T10:40:05Z,29.76232,-95.10971,0,183.1,183,NA,NA,NA,NA,12,NA,NA,NA,NA,A
351106000,2018-01-01T05:11:44Z,29.08347,-94.66947,0.1,322,45,MORHOLMEN,IMO9553414,3EUC6,80,1,144,23,8.9,89,A
351106000,2018-01-01T05:14:43Z,29.08348,-94.66948,0.2,154,48,MORHOLMEN,IMO9553414,3EUC6,80,1,144,23,8.9,89,A
303295000,2018-01-01T20:39:58Z,53.84142,-166.58356,0.1,340.6,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
367500750,2018-01-01T13:48:26Z,40.70002,-74.15256,0,315.5,61,CAITLIN ANN,IMO8644357,WDF8998,31,0,24,7,NA,31,A
367500750,2018-01-01T13:46:46Z,40.70002,-74.15256,0,309.3,62,CAITLIN ANN,IMO8644357,WDF8998,31,0,24,7,NA,31,A
303295000,2018-01-01T20:38:48Z,53.84142,-166.58358,0.1,322.2,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
351106000,2018-01-01T05:20:46Z,29.0834,-94.66943,0,156,43,MORHOLMEN,IMO9553414,3EUC6,80,1,144,23,8.9,89,A
367500750,2018-01-01T13:45:26Z,40.70001,-74.15255,0,302.9,62,CAITLIN ANN,IMO8644357,WDF8998,31,0,24,7,NA,31,A
367500750,2018-01-01T13:43:15Z,40.70002,-74.15257,0,285.4,70,CAITLIN ANN,IMO8644357,WDF8998,31,0,24,7,NA,31,A
351106000,2018-01-01T05:23:43Z,29.08337,-94.66942,0.1,135,42,MORHOLMEN,IMO9553414,3EUC6,80,1,144,23,8.9,89,A
351106000,2018-01-01T05:26:45Z,29.08335,-94.66948,0.1,305,39,MORHOLMEN,IMO9553414,3EUC6,80,1,144,23,8.9,89,A
351106000,2018-01-01T05:29:46Z,29.08337,-94.66953,0,172,43,MORHOLMEN,IMO9553414,3EUC6,80,1,144,23,8.9,89,A
351106000,2018-01-01T05:32:46Z,29.08332,-94.6695,0,168,43,MORHOLMEN,IMO9553414,3EUC6,80,1,144,23,8.9,89,A
367500750,2018-01-01T13:44:17Z,40.70001,-74.15256,0,87.5,67,CAITLIN ANN,IMO8644357,WDF8998,31,0,24,7,NA,31,A
303295000,2018-01-01T20:37:39Z,53.84141,-166.58359,0.1,311.8,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
367500750,2018-01-01T13:41:46Z,40.70003,-74.15256,0,243.3,70,CAITLIN ANN,IMO8644357,WDF8998,31,0,24,7,NA,31,A
351106000,2018-01-01T05:35:46Z,29.08325,-94.66943,0,148,39,MORHOLMEN,IMO9553414,3EUC6,80,1,144,23,8.9,89,A
