ship_id,callsign,shipname,draught,imo,ais_type_summary,mmsi,speed,avg_speed,destination,distance_to_go,distance_travelled,eta,eta_calc,eta_updated,heading,lon,lat,max_speed,timestamp,utc_seconds,current_location,jenis_alert,track
144283,5BYD2,ORIENT CENTAUR,146,9464572,Cargo,212060000,100,9.9,PORT HEDLAND,1173,77,2022-06-06T04:00:00Z,2022-06-06T11:31:00Z,NA,133,1037146,-736519,14.6,2021-10-13T04:12:00Z,99,0101000020E610000000000000BCED594000000060F4751DC0,ALERT-HLD-ALKI,"LINESTRING(116.9865 -6.223615,117.2278 -6.255795,117.4048 -6.271606,117.6338 -6.287687,117.7739 -6.307096,117.9882 -6.334784,118.3095 -6.369415,118.3692 -6.37733,118.6672 -6.411178,118.6672 -6.411178,118.9492 -6.442965,119.2193 -6.472795,119.3307 -6.484192,119.3307 -6.484192,119.3307 -6.484192)"
3260,9HA3621,SEAFARER,94,9686314,Cargo,229800000,97,10.3,ORDERS,0,1532,2022-06-14T10:00:00Z,NA,NA,270,9557159,6405545,12,2021-09-29T12:24:00Z,98,0101000020E6100000000000E094E4574000000040479F1940,ALERT-HLD-ALKI,"LINESTRING(115.3164 -7.467817,115.4874 -7.611777,115.5551 -7.66928,115.6842 -7.782563,115.7712 -7.862078,115.8786 -7.951303,115.862 -8.26615,115.8179 -8.39649,115.763 -8.569473,115.6953 -8.751014,115.6618 -8.875241,115.6213 -9.04328,115.6015 -9.175983,115.5742 -9.299225,115.5483 -9.420112,115.5218 -9.55168,115.5218 -9.55168,115.4786 -9.763746,115.4697 -9.808375,115.4176 -10.0737,115.4176 -10.0737,115.2891 -10.66734,115.2891 -10.66734)"
3260,9HA3621,SEAFARER,94,9686314,Cargo,229800000,97,10.3,ORDERS,0,1532,2022-06-14T10:00:00Z,NA,NA,270,9557159,6405545,12,2021-09-29T12:24:00Z,98,0101000020E6100000000000E094E4574000000040479F1940,ALERT-HLD-ALKI,"LINESTRING(115.9061 -9.737251,115.869 -9.596672,115.8348 -9.452744,115.7974 -9.309887,115.7667 -9.18,115.735 -9.053364,115.7125 -8.907581,115.7681 -8.713107,115.8182 -8.537831,115.8656 -8.39269,115.898 -8.271069,115.885 -8.148334,115.6858 -7.960605,115.6418 -7.917881,115.5257 -7.798992,115.4787 -7.73756,115.1053 -7.299935,115.1053 -7.299935,114.9867 -7.165375,114.8391 -7.011133,114.6675 -6.89586,114.6675 -6.89586,114.6675 -6.89586)"
34980,PNBZ,AWU AWU,21,8742862,Passenger,14568790,49,10,BATULICIN,0,3283,2022-10-03T20:00:00Z,NA,NA,511,1174972,-0.34429199999999993,12.1,2022-02-14T09:30:00Z,49,0101000020E610000000000020D25F5D4000000060E108D6BF,ALERT-AISDOWN-3DAY,"LINESTRING(119.0356 -4.10515,117.5427 -0.2563,117.5427 -0.2563)"
3364,BRWV,XIN WU ZHOU 1,72,9183221,Cargo,414238000,102,11.6,LEI-ZHOU,2041,1660,2022-05-12T19:00:00Z,2022-05-15T12:53:00Z,NA,338,1188851,7271497,13.6,2022-03-07T11:30:00Z,42,0101000020E610000000000080A5B85D400000004003161D40,ALERT-HLD-ALKI,"LINESTRING(117.1904 -1.697262,117.2418 -1.630607,117.344 -1.498288,117.409 -1.399602,117.4837 -1.302643,117.5327 -1.237642,117.6351 -1.110653,117.7548 -0.958577,117.8079 -0.889493,117.8665 -0.813137,117.9171 -0.746352,118.0492 -0.57562,118.0775 -0.541107,118.1576 -0.431807,118.3278 -0.211482,118.3815 -0.138133,118.4308 -0.069917,118.5073 0.035972,118.5771 0.12306,118.7076 0.274892,118.7819 0.383715,118.8571 0.492795,118.9312 0.621415,118.9784 0.709923,119.0358 0.815018,119.0904 0.91531,119.1364 1.021528,119.1625 1.20083,119.1679 1.241842,119.1788 1.327175,119.2015 1.532708,119.2088 1.584798,119.2088 1.584798)"
42818,YDWG,MENTARI SAHABAT,51,9413298,Cargo,525015172,7,6.9,LAMONGAN,0,178,2022-06-02T04:00:00Z,2022-06-02T01:46:00Z,NA,511,1124242,-6864782,8,2021-09-28T04:54:00Z,98,0101000020E610000000000020261B5C400000006089751BC0,ALERT-AISDOWN-3DAY,"LINESTRING(116.5506 -7.770682,116.5366 -8.159344,116.5366 -8.159344)"
42818,YDWG,MENTARI SAHABAT,51,9413298,Cargo,525015172,7,6.9,LAMONGAN,0,178,2022-06-02T04:00:00Z,2022-06-02T01:46:00Z,NA,511,1124242,-6864782,8,2021-09-28T04:54:00Z,98,0101000020E610000000000020261B5C400000006089751BC0,ALERT-AISDOWN-3DAY,"LINESTRING(116.6944 -7.80296,116.2226 -8.169329,116.2226 -8.169329)"
42818,YDWG,MENTARI SAHABAT,51,9413298,Cargo,525015172,7,6.9,LAMONGAN,0,178,2022-06-02T04:00:00Z,2022-06-02T01:46:00Z,NA,511,1124242,-6864782,8,2021-09-28T04:54:00Z,98,0101000020E610000000000020261B5C400000006089751BC0,ALERT-AISDOWN-3DAY,"LINESTRING(116.5791 -7.777602,116.3053 -8.150035,116.3053 -8.150035)"
42818,YDWG,MENTARI SAHABAT,51,9413298,Cargo,525015172,7,6.9,LAMONGAN,0,178,2022-06-02T04:00:00Z,2022-06-02T01:46:00Z,NA,511,1124242,-6864782,8,2021-09-28T04:54:00Z,98,0101000020E610000000000020261B5C400000006089751BC0,ALERT-AISDOWN-3DAY,"LINESTRING(116.246 -7.697395,117.401 -8.343801,117.401 -8.343801)"
113312,D7GC,MINERAL CHINA,175,9264790,Cargo,441758000,99,10.3,IN NAV,2227,1536,2022-06-09T14:30:00Z,2022-06-10T20:12:00Z,NA,282,9545895,6106781,11,2021-10-18T21:38:00Z,18,0101000020E6100000000000605FDD574000000000586D1840,ALERT-HLD-ALKI,"LINESTRING(119.5078 2.579493,119.5078 2.579493,119.4525 1.884288,119.4525 1.884288,119.4329 1.656878,119.4176 1.430018,119.4017 1.22743,119.3878 1.063713,119.3064 0.894412,119.2083 0.764332,119.1043 0.63334,119.0927 0.619087,118.8751 0.41745,118.7413 0.329498,118.6021 0.23813,118.4629 0.150357,118.3279 0.06191,118.2228 -0.004747,118.0661 -0.105127,117.9361 -0.189213,117.8208 -0.25308,117.7314 -0.254798,117.6875 -0.265862,117.6877 -0.26622,117.6875 -0.26656,117.6879 -0.266073,117.6878 -0.265762,117.6875 -0.266607,117.6877 -0.26722,117.6877 -0.26722)"
113312,D7GC,MINERAL CHINA,175,9264790,Cargo,441758000,99,10.3,IN NAV,2227,1536,2022-06-09T14:30:00Z,2022-06-10T20:12:00Z,NA,282,9545895,6106781,11,2021-10-18T21:38:00Z,18,0101000020E6100000000000605FDD574000000000586D1840,ALERT-HLD-ALKI,"LINESTRING(117.7183 -0.271343,117.8178 -0.333005,117.9305 -0.40383,118.0207 -0.461657,118.0888 -0.519343,118.0979 -0.586232,118.1552 -0.930318,118.2986 -1.77053,118.3228 -1.910463,118.345 -2.03342,118.3544 -2.08606,118.4071 -2.424142,118.4086 -2.43284,118.4895 -2.90569,118.3384 -3.479338,118.3384 -3.479338)"
113754,3FGZ6,MINERAL NOBLE,175,9283681,Cargo,374660000,105,9.1,INNAV,2211,1824,2022-04-27T07:30:00Z,2022-04-27T01:52:00Z,NA,291,9543642,618071,11.4,2021-10-20T10:35:00Z,38,0101000020E610000000000040EEDB5740000000000CB91840,ALERT-HLD-ALKI,"LINESTRING(117.6785 -0.308998,117.6789 -0.30865,117.6789 -0.308683,117.6789 -0.308733,117.6791 -0.308565,117.6788 -0.308652,117.6787 -0.308672,117.6804 -0.308927,117.6804 -0.308958,117.6805 -0.30895,117.6797 -0.308595,117.6792 -0.30859,117.6788 -0.308645,117.6786 -0.308647,117.677 -0.312332,117.7492 -0.341785,117.8412 -0.395238,117.9358 -0.447862,118.0054 -0.486523,118.0641 -0.548857,118.0969 -0.668393,118.1239 -0.781437,118.1297 -0.804172,118.1466 -0.865245,118.2461 -1.23953,118.2461 -1.23953)"
114677,V7A2194,F FORTUNE,96,9218777,Cargo,538008285,102,10.7,CN.HUH,2141,3601,2022-06-02T13:00:00Z,2022-06-02T12:38:00Z,NA,15,1200508,6931817,14.5,2021-09-13T18:57:00Z,53,0101000020E61000000000004040035E40000000402EBA1B40,ALERT-HLD-ALKI,"LINESTRING(117.2718 -1.637098,117.4318 -1.424337,117.5439 -1.275622,117.626 -1.163628,117.7369 -1.013132,117.7879 -0.951187,117.8662 -0.835798,117.9476 -0.72393,118.0563 -0.586715,118.1272 -0.48811,118.1715 -0.42124,118.2575 -0.295855,118.3413 -0.205522,118.4591 -0.037155,118.5361 0.064918,118.621 0.182762,118.6972 0.280957,118.8084 0.432543,118.9003 0.560177,118.9602 0.639232,119.0472 0.754903,119.134 0.873617,119.1833 1.012887,119.1891 1.060048,119.2173 1.289118,119.2452 1.49927,119.2691 1.654057,119.2691 1.654057)"
